URL,Title,Address
https://newyork.craigslist.org/que/egr/d/project-manager/7060539697.html,Project Manager,Long Island City
https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect/7060234870.html,Project Architect,Gramercy
https://newyork.craigslist.org/mnh/egr/d/new-york-entry-level-junior-estimator/7060229417.html,Entry-Level Junior Estimator,Upper East Side
https://newyork.craigslist.org/mnh/egr/d/new-york-concrete-safety-manager/7059780845.html,Concrete Safety Manager,Manhattan
https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-estimator/7059770895.html,Assistant Estimator,Manhattan
https://newyork.craigslist.org/mnh/egr/d/new-york-surveyor-layout/7059769762.html,Surveyor layout,Manhattan
https://newyork.craigslist.org/mnh/egr/d/new-york-revit-operator-part-or-full/7059720832.html,Revit Operator - Part or Full Time,SoHo
https://newyork.craigslist.org/que/egr/d/floral-park-project-architect/7059709686.html,Project Architect,Queens
https://newyork.craigslist.org/brx/egr/d/bronx-project-manager-drafter/7059667375.html,Project Manager/ Drafter,
https://newyork.craigslist.org/stn/egr/d/staten-island-electrical-estimator/7059611716.html,Electrical Estimator,NYC
https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-servicesnyc-dob/7059580986.html,Architectural Services_NYC DOB Commercial Filing set,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-architect-construction/7059565287.html,Architect-Construction Administration-Revit | Multi Family Residential,Downtown
https://newyork.craigslist.org/que/egr/d/project-architects/7059531617.html,Project Architect(s),"Jamaica, Queens"
https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-intern/7059436981.html,Junior Architect/ Intern,Lower East Side
https://newyork.craigslist.org/que/egr/d/flushing-midsize-architectural-firm/7059372984.html,Midsize Architectural firm seeks Graduates,Flushing
https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-engineer-cnc/7059316143.html,Millwork Engineer / CNC Programmer,Brooklyn
https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-estimator/7059296582.html,Millwork Estimator,"Brooklyn, NY"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-spanish-speaking-nail/7059197113.html,SPANISH SPEAKING NAIL STYLIST NEEDED  (MANICURES&PEDICURES),Inwood / Wash Hts
https://newyork.craigslist.org/que/egr/d/flushing-drafter-estimator-experienced/7058453556.html,Drafter/Estimator Experienced in steel fabrication,college point queens
https://newyork.craigslist.org/que/egr/d/woodside-top-architectural-metal-glass/7058321558.html,Top Architectural Metal  + Glass Company looking for drafter/engineer!,Woodside
https://newyork.craigslist.org/fct/egr/d/stamford-construction-plans-estimator/7058209698.html,Construction Plans Estimator,Stamford
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect-or/7058077980.html,Facade / Building Envelope Architect or Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7058072439.html,Facade / Building Envelope Project Manager,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/new-york-in-house-interior-designer/7058060220.html,In-house Interior Designer,Murray Hill
https://newyork.craigslist.org/mnh/egr/d/new-york-interior-designer/7058057923.html,Interior Designer,Murray Hill
https://newyork.craigslist.org/mnh/egr/d/new-york-high-end-kitchen-designer/7058054892.html,High End Kitchen Designer,Murray Hill
https://newyork.craigslist.org/brk/egr/d/brooklyn-superintendent-construction/7058003819.html,Superintendent - Construction,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-electrical-engineer/7057984592.html,Electrical Engineer,Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-engineer-architect-inspector/7057976104.html,Engineer - Architect - Inspector,Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-architect-intermediate/7057960292.html,"Architect, Intermediate",New York and Brooklyn
https://newyork.craigslist.org/que/egr/d/construction-estimator/7057938072.html,Construction Estimator,NYC
https://newyork.craigslist.org/stn/egr/d/staten-island-general-contractor/7057897320.html,General Contractor - Estimator Wanted Immediately,Staten Island
https://newyork.craigslist.org/que/egr/d/bayside-architect-senior-intermediate/7057881026.html,ARCHITECT Senior/ Intermediate,QUEENS
https://newyork.craigslist.org/stn/egr/d/staten-island-engineering-architectural/7057870003.html,Engineering/Architectural CAD Operator,Staten Island
https://newyork.craigslist.org/mnh/egr/d/new-york-career-opportunities-in/7057792523.html,Career Opportunities in Engineering for Immigrant Professionals,New York
https://newyork.craigslist.org/brk/egr/d/brooklyn-architecture-project-manager/7057770577.html,Architecture Project Manager,"Williamsburg, Brooklyn"
https://newyork.craigslist.org/brk/egr/d/new-york-construction-project-manager/7057758260.html,Construction Project Manager / Project Manager / Const. Superintendent,Manhattan
https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager/7057756761.html,PROJECT MANAGER,NEW YORK
https://newyork.craigslist.org/brk/egr/d/brooklyn-experienced-architect-drafter/7057735724.html,Experienced Architect/Drafter,Brooklyn
https://newyork.craigslist.org/brk/egr/d/brooklyn-experienced-architect-drafter/7057731846.html,Experienced Architect/Drafter,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-av-field-engineer/7057656189.html,AV Field Engineer,
https://newyork.craigslist.org/mnh/egr/d/new-york-av-associate-engineer/7057655582.html,AV Associate Engineer,
https://newyork.craigslist.org/brk/egr/d/brooklyn-maintenance-technician/7057250493.html,Maintenance Technician,
https://newyork.craigslist.org/que/egr/d/east-elmhurst-drafters-needed/7056803202.html,Drafters Needed,"Queens, NY"
https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-draft-person/7056696382.html,Junior Architect/Draft person,New York
https://newyork.craigslist.org/mnh/egr/d/new-york-midtown-architecture-office/7056685398.html,Midtown Architecture Office searching for an Architecture Candidate,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-registered-architect-new/7056591833.html,Registered Architect - New Office in NY - High Rise Buildings,New York City
https://newyork.craigslist.org/lgi/egr/d/huntington-station-architectural-junior/7056532602.html,Architectural Junior/Senior Drafter,Huntington Station
https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-senior-drafter/7056525899.html,Architectural Senior Drafter/Job Captain,Midtown West
https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-apm-administrator/7056106668.html,Construction APM / Administrator Role,Brooklyn NY
https://newyork.craigslist.org/que/egr/d/draftsman-estimator-assistant-project/7056086983.html,Draftsman/estimator/assistant project manager.,Ridgewood
https://newyork.craigslist.org/brk/egr/d/brooklyn-autocad-drafter-mep-engineering/7056037024.html,AutoCad Drafter - MEP Engineering,Brooklyn
https://newyork.craigslist.org/que/egr/d/astoria-junior-architect-estimator/7055965972.html,Junior Architect/ Estimator,"Astoria, Queens"
https://newyork.craigslist.org/brk/egr/d/brooklyn-project-architect-wanted-in/7055908472.html,Project Architect Wanted in Industry City,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-junior-engineer-architect/7055826729.html,JUNIOR ENGINEER / ARCHITECT,
https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-for-busy-ceo-of-high/7055757186.html,Assistant for busy CEO of high end prefab start up (Russian&English),Financial District
https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-project-manager/7055529682.html,Assistant Project Manager - Construction and Development,"New York, NY"
https://newyork.craigslist.org/stn/egr/d/architect-full-time-immediate-hire/7055253240.html,Architect -Full Time-Immediate Hire,Staten Island
https://newyork.craigslist.org/que/egr/d/project-architects/7055199575.html,Project Architect(s),"Jamaica, Queens"
https://newyork.craigslist.org/brk/egr/d/brooklyn-project-coordinator-manager/7055188275.html,Project Coordinator/Manager,Brooklyn
https://newyork.craigslist.org/que/egr/d/long-island-city-drafting-estimating/7055165570.html,Drafting/Estimating Internship,Long Island City
https://newyork.craigslist.org/brk/egr/d/brooklyn-master-plumber-sign-off/7054672905.html,MASTER  PLUMBER  - SIGN OFF -  ARCHITECT,BROOKLY
https://newyork.craigslist.org/brk/egr/d/brooklyn-cad-drafter/7054622360.html,CAD Drafter,"Brooklyn, NY"
https://newyork.craigslist.org/mnh/egr/d/new-york-architects-residential/7054365796.html,Architects - Residential Experience,New York
https://newyork.craigslist.org/mnh/egr/d/new-york-trainee-project-manager-at/7053744607.html,Trainee Project Manager at High-End Glass Wall Company,Midtown
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/7053739977.html,Facade / Building Envelope Architect,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7053738995.html,Facade / Building Envelope Project Manager,TriBeCa
https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-project-manager/7053686621.html,Architect - Project Manager,brooklyn
https://newyork.craigslist.org/fct/egr/d/mamaroneck-freelance-architect/7053676544.html,Freelance Architect,Mamaroneck
https://newyork.craigslist.org/wch/egr/d/mamaroneck-freelance-architect/7053675609.html,Freelance Architect,Mamaroneck
https://newyork.craigslist.org/brk/egr/d/woodhaven-millwork-draftsman-position/7053656758.html,Millwork Draftsman Position,
